Deck Name,Card,Quantity

[S] - Pikachu ex - Suggested decklist,Pikachu ex,2
[S] - Pikachu ex - Suggested decklist,zapdos ex,2
[S] - Pikachu ex - Suggested decklist,voltorb,2
[S] - Pikachu ex - Suggested decklist,electrode,2
[S] - Pikachu ex - Suggested decklist,poke ball,2
[S] - Pikachu ex - Suggested decklist,potion,2
[S] - Pikachu ex - Suggested decklist,red card,1
[S] - Pikachu ex - Suggested decklist,Sabrina,2
[S] - Pikachu ex - Suggested decklist,professor's research,2
[S] - Pikachu ex - Suggested decklist,x speed,2
[S] - Pikachu ex - Suggested decklist,giovanni,1

[S] - Pikachu ex - Lt. Surge variant,Pikachu ex,2
[S] - Pikachu ex - Lt. Surge variant,zapdos ex,2
[S] - Pikachu ex - Lt. Surge variant,Pikachu,2
[S] - Pikachu ex - Lt. Surge variant,raichu,2
[S] - Pikachu ex - Lt. Surge variant,poke ball,2
[S] - Pikachu ex - Lt. Surge variant,potion,2
[S] - Pikachu ex - Lt. Surge variant,lt. surge,2
[S] - Pikachu ex - Lt. Surge variant,Sabrina,2
[S] - Pikachu ex - Lt. Surge variant,professor's research,2
[S] - Pikachu ex - Lt. Surge variant,x speed,2

[S] - Pikachu ex - Zebstrika variant,Pikachu ex,2
[S] - Pikachu ex - Zebstrika variant,zapdos ex,1
[S] - Pikachu ex - Zebstrika variant,voltorb,2
[S] - Pikachu ex - Zebstrika variant,electrode,2
[S] - Pikachu ex - Zebstrika variant,blitzle,2
[S] - Pikachu ex - Zebstrika variant,zebstrika,2
[S] - Pikachu ex - Zebstrika variant,poke ball,2
[S] - Pikachu ex - Zebstrika variant,potion,2
[S] - Pikachu ex - Zebstrika variant,x speed,1
[S] - Pikachu ex - Zebstrika variant,Sabrina,1
[S] - Pikachu ex - Zebstrika variant,professor's research,2
[S] - Pikachu ex - Zebstrika variant,giovanni,1

[S] - Mewtwo ex - Suggested decklist,mewtwo ex,2
[S] - Mewtwo ex - Suggested decklist,ralts,2
[S] - Mewtwo ex - Suggested decklist,kirlia,2
[S] - Mewtwo ex - Suggested decklist,gardevoir,2
[S] - Mewtwo ex - Suggested decklist,poke ball,2
[S] - Mewtwo ex - Suggested decklist,potion,2
[S] - Mewtwo ex - Suggested decklist,red card,1
[S] - Mewtwo ex - Suggested decklist,Sabrina,1
[S] - Mewtwo ex - Suggested decklist,professor's research,2
[S] - Mewtwo ex - Suggested decklist,x speed,2
[S] - Mewtwo ex - Suggested decklist,giovanni,2

[A] - Charizard ex - Suggested decklist,moltres ex,2
[A] - Charizard ex - Suggested decklist,charmander,2
[A] - Charizard ex - Suggested decklist,charmeleon,2
[A] - Charizard ex - Suggested decklist,charizard ex,2
[A] - Charizard ex - Suggested decklist,poke ball,2
[A] - Charizard ex - Suggested decklist,potion,2
[A] - Charizard ex - Suggested decklist,red card,2
[A] - Charizard ex - Suggested decklist,Sabrina,2
[A] - Charizard ex - Suggested decklist,professor's research,2
[A] - Charizard ex - Suggested decklist,x speed,2

[A] - Charizard ex - Rapidash variant,moltres ex,2
[A] - Charizard ex - Rapidash variant,charmander,2
[A] - Charizard ex - Rapidash variant,charmeleon,2
[A] - Charizard ex - Rapidash variant,charizard ex,2
[A] - Charizard ex - Rapidash variant,ponyta,2
[A] - Charizard ex - Rapidash variant,rapidash,2
[A] - Charizard ex - Rapidash variant,poke ball,2
[A] - Charizard ex - Rapidash variant,Sabrina,2
[A] - Charizard ex - Rapidash variant,professor's research,2
[A] - Charizard ex - Rapidash variant,x speed,2

[A] - Starmie ex - Articuno ex variant,staryu,2
[A] - Starmie ex - Articuno ex variant,starmie ex,2
[A] - Starmie ex - Articuno ex variant,articuno ex,2
[A] - Starmie ex - Articuno ex variant,poke ball,2
[A] - Starmie ex - Articuno ex variant,potion,2
[A] - Starmie ex - Articuno ex variant,red card,2
[A] - Starmie ex - Articuno ex variant,Sabrina,2
[A] - Starmie ex - Articuno ex variant,professor's research,2
[A] - Starmie ex - Articuno ex variant,giovanni,2
[A] - Starmie ex - Articuno ex variant,misty,2

[A] - Starmie ex - Greninja variant,staryu,2
[A] - Starmie ex - Greninja variant,starmie ex,2
[A] - Starmie ex - Greninja variant,froakie,2
[A] - Starmie ex - Greninja variant,frogadier,2
[A] - Starmie ex - Greninja variant,greninja,2
[A] - Starmie ex - Greninja variant,poke ball,2
[A] - Starmie ex - Greninja variant,potion,2
[A] - Starmie ex - Greninja variant,Sabrina,2
[A] - Starmie ex - Greninja variant,professor's research,2
[A] - Starmie ex - Greninja variant,misty,2

[A] - Venusaur ex - Lilligant variant,bulbasaur,2
[A] - Venusaur ex - Lilligant variant,ivysaur,2
[A] - Venusaur ex - Lilligant variant,venusaur ex,2
[A] - Venusaur ex - Lilligant variant,petilil,2
[A] - Venusaur ex - Lilligant variant,lilligant,2
[A] - Venusaur ex - Lilligant variant,poke ball,2
[A] - Venusaur ex - Lilligant variant,potion,1
[A] - Venusaur ex - Lilligant variant,x speed,1
[A] - Venusaur ex - Lilligant variant,professor's research,2
[A] - Venusaur ex - Lilligant variant,erika,2
[A] - Venusaur ex - Lilligant variant,sabrina,2

[A] - Venusaur ex - Exeggutor ex variant,bulbasaur,2
[A] - Venusaur ex - Exeggutor ex variant,ivysaur,2
[A] - Venusaur ex - Exeggutor ex variant,venusaur ex,2
[A] - Venusaur ex - Exeggutor ex variant,exeggcute,2
[A] - Venusaur ex - Exeggutor ex variant,exeggutor ex,2
[A] - Venusaur ex - Exeggutor ex variant,poke ball,2
[A] - Venusaur ex - Exeggutor ex variant,x speed,2
[A] - Venusaur ex - Exeggutor ex variant,professor's research,2
[A] - Venusaur ex - Exeggutor ex variant,erika,2
[A] - Venusaur ex - Exeggutor ex variant,Sabrina,2

[A] - Venusaur ex - Caterpie variant,bulbasaur,2
[A] - Venusaur ex - Caterpie variant,ivysaur,2
[A] - Venusaur ex - Caterpie variant,venusaur ex,2
[A] - Venusaur ex - Caterpie variant,caterpie,2
[A] - Venusaur ex - Caterpie variant,poke ball,2
[A] - Venusaur ex - Caterpie variant,potion,2
[A] - Venusaur ex - Caterpie variant,x speed,2
[A] - Venusaur ex - Caterpie variant,professor's research,2
[A] - Venusaur ex - Caterpie variant,erika,2
[A] - Venusaur ex - Caterpie variant,Sabrina,2

[A] - Venusaur ex - Weezing variant,bulbasaur,2
[A] - Venusaur ex - Weezing variant,ivysaur,2
[A] - Venusaur ex - Weezing variant,venusaur ex,2
[A] - Venusaur ex - Weezing variant,koffing,2
[A] - Venusaur ex - Weezing variant,weezing,2
[A] - Venusaur ex - Weezing variant,potion,2
[A] - Venusaur ex - Weezing variant,professor's research,2
[A] - Venusaur ex - Weezing variant,erika,2
[A] - Venusaur ex - Weezing variant,Sabrina,2
[A] - Venusaur ex - Weezing variant,koga,2

[A] - Marowak ex - Dugtrio coin flip variant,cubone,2
[A] - Marowak ex - Dugtrio coin flip variant,marowak ex,2
[A] - Marowak ex - Dugtrio coin flip variant,diglett,2
[A] - Marowak ex - Dugtrio coin flip variant,dugtrio,2
[A] - Marowak ex - Dugtrio coin flip variant,poke ball,2
[A] - Marowak ex - Dugtrio coin flip variant,potion,2
[A] - Marowak ex - Dugtrio coin flip variant,x speed,2
[A] - Marowak ex - Dugtrio coin flip variant,giovanni,2
[A] - Marowak ex - Dugtrio coin flip variant,professor's research,2
[A] - Marowak ex - Dugtrio coin flip variant,Sabrina,2

[A] - 4 Marowak variant,cubone,2
[A] - 4 Marowak variant,marowak,2
[A] - 4 Marowak variant,marowak ex,2
[A] - 4 Marowak variant,kabuto,2
[A] - 4 Marowak variant,kabutops,1
[A] - 4 Marowak variant,dome fossil,2
[A] - 4 Marowak variant,poke ball,2
[A] - 4 Marowak variant,potion,2
[A] - 4 Marowak variant,giovanni,1
[A] - 4 Marowak variant,professor's research,2
[A] - 4 Marowak variant,Sabrina,2

[A] - Marowak ex - Sandslash variant,cubone,2
[A] - Marowak ex - Sandslash variant,marowak ex,2
[A] - Marowak ex - Sandslash variant,sandshrew,2
[A] - Marowak ex - Sandslash variant,sandslash,2
[A] - Marowak ex - Sandslash variant,poke ball,2
[A] - Marowak ex - Sandslash variant,potion,2
[A] - Marowak ex - Sandslash variant,x speed,2
[A] - Marowak ex - Sandslash variant,giovanni,2
[A] - Marowak ex - Sandslash variant,professor's research,2
[A] - Marowak ex - Sandslash variant,Sabrina,2

[B] - Blaine deck - Suggested decklist,vulpix,2
[B] - Blaine deck - Suggested decklist,ninetales,2
[B] - Blaine deck - Suggested decklist,ponyta,2
[B] - Blaine deck - Suggested decklist,rapidash,2
[B] - Blaine deck - Suggested decklist,poke ball,2
[B] - Blaine deck - Suggested decklist,red card,1
[B] - Blaine deck - Suggested decklist,x speed,2
[B] - Blaine deck - Suggested decklist,blaine,2
[B] - Blaine deck - Suggested decklist,professor's research,2
[B] - Blaine deck - Suggested decklist,sabrina,2
[B] - Blaine deck - Suggested decklist,giovanni,1

[B] - Alakazam - Kangaskhan variant,abra,2
[B] - Alakazam - Kangaskhan variant,kadabra,2
[B] - Alakazam - Kangaskhan variant,alakazam,2
[B] - Alakazam - Kangaskhan variant,kangaskhan,2
[B] - Alakazam - Kangaskhan variant,poke ball,2
[B] - Alakazam - Kangaskhan variant,potion,2
[B] - Alakazam - Kangaskhan variant,x speed,2
[B] - Alakazam - Kangaskhan variant,giovanni,2
[B] - Alakazam - Kangaskhan variant,professor's research,2
[B] - Alakazam - Kangaskhan variant,sabrina,2

[B] - Alakazam - Greninja variant,froakie,2
[B] - Alakazam - Greninja variant,frogadier,2
[B] - Alakazam - Greninja variant,greninja,2
[B] - Alakazam - Greninja variant,abra,2
[B] - Alakazam - Greninja variant,kadabra,2
[B] - Alakazam - Greninja variant,alakazam,2
[B] - Alakazam - Greninja variant,kangaskhan,2
[B] - Alakazam - Greninja variant,poke ball,2
[B] - Alakazam - Greninja variant,x speed,1
[B] - Alakazam - Greninja variant,professor's research,2
[B] - Alakazam - Greninja variant,sabrina,1

[B] - Alakazam - Weezing variant,abra,2
[B] - Alakazam - Weezing variant,kadabra,2
[B] - Alakazam - Weezing variant,alakazam,2
[B] - Alakazam - Weezing variant,koffing,2
[B] - Alakazam - Weezing variant,weezing,2
[B] - Alakazam - Weezing variant,poke ball,2
[B] - Alakazam - Weezing variant,potion,1
[B] - Alakazam - Weezing variant,giovanni,1
[B] - Alakazam - Weezing variant,koga,2
[B] - Alakazam - Weezing variant,professor's research,2
[B] - Alakazam - Weezing variant,sabrina,2

[B] - Koga - Arbok variant,ekans,2
[B] - Koga - Arbok variant,arbok,2
[B] - Koga - Arbok variant,grimer,1
[B] - Koga - Arbok variant,muk,1
[B] - Koga - Arbok variant,koffing,2
[B] - Koga - Arbok variant,weezing,2
[B] - Koga - Arbok variant,poke ball,2
[B] - Koga - Arbok variant,potion,2
[B] - Koga - Arbok variant,koga,2
[B] - Koga - Arbok variant,professor's research,2
[B] - Koga - Arbok variant,sabrina,2

[B] - Blastoise ex - Meowth variant,squirtle,2
[B] - Blastoise ex - Meowth variant,wartortle,2
[B] - Blastoise ex - Meowth variant,blastoise ex,2
[B] - Blastoise ex - Meowth variant,meowth,2
[B] - Blastoise ex - Meowth variant,potion,2
[B] - Blastoise ex - Meowth variant,x speed,2
[B] - Blastoise ex - Meowth variant,poke ball,2
[B] - Blastoise ex - Meowth variant,professor's research,2
[B] - Blastoise ex - Meowth variant,misty,2
[B] - Blastoise ex - Meowth variant,sabrina,2

[B] - 18T Articuno ex variant,articuno ex,2
[B] - 18T Articuno ex variant,hand scope,2
[B] - 18T Articuno ex variant,poke ball,2
[B] - 18T Articuno ex variant,potion,2
[B] - 18T Articuno ex variant,red card,2
[B] - 18T Articuno ex variant,x speed,2
[B] - 18T Articuno ex variant,giovanni,2
[B] - 18T Articuno ex variant,misty,2
[B] - 18T Articuno ex variant,professor's research,2
[B] - 18T Articuno ex variant,sabrina,2

[B] - 18T Zapdos ex variant,zapdos ex,2
[B] - 18T Zapdos ex variant,hand scope,2
[B] - 18T Zapdos ex variant,poke ball,2
[B] - 18T Zapdos ex variant,pokedex,2
[B] - 18T Zapdos ex variant,potion,2
[B] - 18T Zapdos ex variant,red card,2
[B] - 18T Zapdos ex variant,x speed,2
[B] - 18T Zapdos ex variant,giovanni,2
[B] - 18T Zapdos ex variant,professor's research,2
[B] - 18T Zapdos ex variant,sabrina,2

[B] - Melmetal - Weezing variant,meltan,2
[B] - Melmetal - Weezing variant,melmetal,2
[B] - Melmetal - Weezing variant,koffing,2
[B] - Melmetal - Weezing variant,weezing,2
[B] - Melmetal - Weezing variant,poke ball,2
[B] - Melmetal - Weezing variant,potion,1
[B] - Melmetal - Weezing variant,x speed,2
[B] - Melmetal - Weezing variant,giovanni,1
[B] - Melmetal - Weezing variant,koga,2
[B] - Melmetal - Weezing variant,professor's research,2
[B] - Melmetal - Weezing variant,sabrina,2

[C] - Moltres ex - Centiskorch variant,moltres ex,2
[C] - Moltres ex - Centiskorch variant,sizzlipede,2
[C] - Moltres ex - Centiskorch variant,centiskorch,2
[C] - Moltres ex - Centiskorch variant,poke ball,2
[C] - Moltres ex - Centiskorch variant,potion,2
[C] - Moltres ex - Centiskorch variant,red card,2
[C] - Moltres ex - Centiskorch variant,x speed,2
[C] - Moltres ex - Centiskorch variant,giovanni,2
[C] - Moltres ex - Centiskorch variant,professor's research,2
[C] - Moltres ex - Centiskorch variant,sabrina,2

[C] - Arbok Pidgeot - Suggested decklist,ekans,2
[C] - Arbok Pidgeot - Suggested decklist,arbok,2
[C] - Arbok Pidgeot - Suggested decklist,pidgey,2
[C] - Arbok Pidgeot - Suggested decklist,pidgeotto,2
[C] - Arbok Pidgeot - Suggested decklist,pidgeot,2
[C] - Arbok Pidgeot - Suggested decklist,poke ball,2
[C] - Arbok Pidgeot - Suggested decklist,potion,1
[C] - Arbok Pidgeot - Suggested decklist,x speed,2
[C] - Arbok Pidgeot - Suggested decklist,giovanni,2
[C] - Arbok Pidgeot - Suggested decklist,professor's research,2
[C] - Arbok Pidgeot - Suggested decklist,sabrina,1

[C] - Exeggutor ex Victreebel variant,exeggcute,2
[C] - Exeggutor ex Victreebel variant,exeggutor,2
[C] - Exeggutor ex Victreebel variant,exeggutor ex,1
[C] - Exeggutor ex Victreebel variant,bellsprout,2
[C] - Exeggutor ex Victreebel variant,weepinbell,2
[C] - Exeggutor ex Victreebel variant,victreebel,2
[C] - Exeggutor ex Victreebel variant,poke ball,2
[C] - Exeggutor ex Victreebel variant,x speed,2
[C] - Exeggutor ex Victreebel variant,erika,2
[C] - Exeggutor ex Victreebel variant,professor's research,2
[C] - Exeggutor ex Victreebel variant,sabrina,1

[C] - Exeggutor ex coinflip variant,exeggcute,2
[C] - Exeggutor ex coinflip variant,exeggutor ex,2
[C] - Exeggutor ex coinflip variant,pinsir,2
[C] - Exeggutor ex coinflip variant,poke ball,2
[C] - Exeggutor ex coinflip variant,potion,2
[C] - Exeggutor ex coinflip variant,red card,1
[C] - Exeggutor ex coinflip variant,x speed,2
[C] - Exeggutor ex coinflip variant,erika,2
[C] - Exeggutor ex coinflip variant,giovanni,1
[C] - Exeggutor ex coinflip variant,professor's research,2
[C] - Exeggutor ex coinflip variant,sabrina,2

[C] - Machamp ex - Marowak ex variant,machop,2
[C] - Machamp ex - Marowak ex variant,machoke,2
[C] - Machamp ex - Marowak ex variant,machamp ex,2
[C] - Machamp ex - Marowak ex variant,cubone,2
[C] - Machamp ex - Marowak ex variant,marowak ex,2
[C] - Machamp ex - Marowak ex variant,poke ball,2
[C] - Machamp ex - Marowak ex variant,potion,2
[C] - Machamp ex - Marowak ex variant,giovanni,2
[C] - Machamp ex - Marowak ex variant,professor's research,2
[C] - Machamp ex - Marowak ex variant,sabrina,2

[C] - Wigglytuff ex Sleep,jigglypuff,2
[C] - Wigglytuff ex Sleep,wigglytuff ex,2
[C] - Wigglytuff ex Sleep,snom,2
[C] - Wigglytuff ex Sleep,frosmoth,2
[C] - Wigglytuff ex Sleep,poke ball,2
[C] - Wigglytuff ex Sleep,potion,2
[C] - Wigglytuff ex Sleep,x speed,2
[C] - Wigglytuff ex Sleep,misty,2
[C] - Wigglytuff ex Sleep,professor's research,2
[C] - Wigglytuff ex Sleep,sabrina,2

[C] - Wigglytuff ex Weezing,jigglypuff,2
[C] - Wigglytuff ex Weezing,wigglytuff ex,2
[C] - Wigglytuff ex Weezing,koffing,2
[C] - Wigglytuff ex Weezing,weezing,2
[C] - Wigglytuff ex Weezing,poke ball,2
[C] - Wigglytuff ex Weezing,red card,1
[C] - Wigglytuff ex Weezing,x speed,2
[C] - Wigglytuff ex Weezing,giovanni,1
[C] - Wigglytuff ex Weezing,koga,2
[C] - Wigglytuff ex Weezing,sabrina,2
[C] - Wigglytuff ex Weezing,professor's research,2

[C] - Dragonite - Weezing variant,dratini,2
[C] - Dragonite - Weezing variant,dragonair,2
[C] - Dragonite - Weezing variant,dragonite,2
[C] - Dragonite - Weezing variant,koffing,2
[C] - Dragonite - Weezing variant,weezing,2
[C] - Dragonite - Weezing variant,poke ball,2
[C] - Dragonite - Weezing variant,x speed,2
[C] - Dragonite - Weezing variant,koga,2
[C] - Dragonite - Weezing variant,professor's research,2
[C] - Dragonite - Weezing variant,sabrina,2

[C] - Dragonite - Frosmoth variant,dratini,2
[C] - Dragonite - Frosmoth variant,dragonair,2
[C] - Dragonite - Frosmoth variant,dragonite,2
[C] - Dragonite - Frosmoth variant,snom,2
[C] - Dragonite - Frosmoth variant,frosmoth,2
[C] - Dragonite - Frosmoth variant,poke ball,2
[C] - Dragonite - Frosmoth variant,x speed,2
[C] - Dragonite - Frosmoth variant,misty,2
[C] - Dragonite - Frosmoth variant,professor's research,2
[C] - Dragonite - Frosmoth variant,sabrina,2

[C] - 1P Lightning - Suggested decklist,pikachu,2
[C] - 1P Lightning - Suggested decklist,raichu,2
[C] - 1P Lightning - Suggested decklist,magnemite,2
[C] - 1P Lightning - Suggested decklist,magneton,2
[C] - 1P Lightning - Suggested decklist,voltorb,2
[C] - 1P Lightning - Suggested decklist,electrode,2
[C] - 1P Lightning - Suggested decklist,poke ball,2
